team,date,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing
FC Aarau,2010-02-22 00:00:00,60,,50
FC Aarau,2014-09-19 00:00:00,52,48.0,56
FC Aarau,2015-09-10 00:00:00,47,41.0,54
Aberdeen,2010-02-22 00:00:00,70,,70
Aberdeen,2011-02-22 00:00:00,47,,52
Aberdeen,2012-02-22 00:00:00,58,,62
Aberdeen,2013-09-20 00:00:00,62,,45
Aberdeen,2014-09-19 00:00:00,58,64.0,62
Aberdeen,2015-09-10 00:00:00,59,64.0,53
AC Ajaccio,2010-02-22 00:00:00,60,,40
AC Ajaccio,2011-02-22 00:00:00,65,,45
AC Ajaccio,2012-02-22 00:00:00,59,,52
AC Ajaccio,2013-09-20 00:00:00,59,,52
AC Ajaccio,2014-09-19 00:00:00,59,57.0,52
AC Ajaccio,2015-09-10 00:00:00,59,57.0,52
Milan,2010-02-22 00:00:00,45,,30
Milan,2011-02-22 00:00:00,65,,50
Milan,2012-02-22 00:00:00,45,,50
Milan,2013-09-20 00:00:00,48,,54
Milan,2014-09-19 00:00:00,48,70.0,52
Milan,2015-09-10 00:00:00,48,70.0,52
Académica de Coimbra,2010-02-22 00:00:00,30,,30
Académica de Coimbra,2011-02-22 00:00:00,30,,50
Académica de Coimbra,2012-02-22 00:00:00,45,,44
Académica de Coimbra,2013-09-20 00:00:00,45,,44
Académica de Coimbra,2014-09-19 00:00:00,52,53.0,44
Académica de Coimbra,2015-09-10 00:00:00,53,53.0,44
ADO Den Haag,2010-02-22 00:00:00,30,,35
ADO Den Haag,2011-02-22 00:00:00,53,,53
ADO Den Haag,2012-02-22 00:00:00,38,,44
ADO Den Haag,2013-09-20 00:00:00,38,,47
ADO Den Haag,2014-09-19 00:00:00,58,47.0,55
ADO Den Haag,2015-09-10 00:00:00,56,40.0,66
Ajax,2010-02-22 00:00:00,30,,30
Ajax,2011-02-22 00:00:00,40,,38
Ajax,2012-02-22 00:00:00,31,,33
Ajax,2013-09-20 00:00:00,35,,33
Ajax,2014-09-19 00:00:00,40,40.0,30
Ajax,2015-09-10 00:00:00,35,43.0,39
UD Almería,2010-02-22 00:00:00,65,,45
UD Almería,2011-02-22 00:00:00,55,,53
UD Almería,2012-02-22 00:00:00,42,,70
UD Almería,2013-09-20 00:00:00,46,,65
UD Almería,2014-09-19 00:00:00,46,41.0,65
UD Almería,2015-09-10 00:00:00,46,41.0,65
RSC Anderlecht,2010-02-22 00:00:00,50,,35
RSC Anderlecht,2011-02-22 00:00:00,50,,52
RSC Anderlecht,2012-02-22 00:00:00,52,,41
RSC Anderlecht,2013-09-20 00:00:00,52,,41
RSC Anderlecht,2014-09-19 00:00:00,52,46.0,51
RSC Anderlecht,2015-09-10 00:00:00,52,46.0,51
Angers SCO,2010-02-22 00:00:00,45,,35
Angers SCO,2011-02-22 00:00:00,65,,50
Angers SCO,2012-02-22 00:00:00,50,,50
Angers SCO,2013-09-20 00:00:00,50,,50
Angers SCO,2014-09-19 00:00:00,48,61.0,50
Angers SCO,2015-09-10 00:00:00,48,61.0,50
Arka Gdynia,2010-02-22 00:00:00,30,,45
Arka Gdynia,2011-02-22 00:00:00,46,,37
AC Arles-Avignon,2010-02-22 00:00:00,50,,65
AC Arles-Avignon,2011-02-22 00:00:00,50,,65
AC Arles-Avignon,2012-02-22 00:00:00,23,,33
AC Arles-Avignon,2013-09-20 00:00:00,41,,48
AC Arles-Avignon,2014-09-19 00:00:00,39,48.0,54
AC Arles-Avignon,2015-09-10 00:00:00,56,46.0,54
DSC Arminia Bielefeld,2010-02-22 00:00:00,40,,65
DSC Arminia Bielefeld,2011-02-22 00:00:00,46,,58
DSC Arminia Bielefeld,2014-09-19 00:00:00,62,49.0,55
FC Arouca,2014-09-19 00:00:00,69,66.0,39
FC Arouca,2015-09-10 00:00:00,65,66.0,39
Arsenal,2010-02-22 00:00:00,66,,30
Arsenal,2011-02-22 00:00:00,75,,40
Arsenal,2012-02-22 00:00:00,25,,32
Arsenal,2013-09-20 00:00:00,30,,29
Arsenal,2014-09-19 00:00:00,59,51.0,26
Arsenal,2015-09-10 00:00:00,59,51.0,30
Aston Villa,2010-02-22 00:00:00,70,,59
Aston Villa,2011-02-22 00:00:00,65,,50
Aston Villa,2012-02-22 00:00:00,67,,58
Aston Villa,2013-09-20 00:00:00,63,,59
Aston Villa,2014-09-19 00:00:00,66,32.0,72
Aston Villa,2015-09-10 00:00:00,63,37.0,54
Atalanta,2010-02-22 00:00:00,35,,40
Atalanta,2011-02-22 00:00:00,65,,50
Atalanta,2012-02-22 00:00:00,40,,50
Atalanta,2013-09-20 00:00:00,64,,36
Atalanta,2014-09-19 00:00:00,64,45.0,37
Atalanta,2015-09-10 00:00:00,64,45.0,37
Athletic Club de Bilbao,2010-02-22 00:00:00,60,,45
Athletic Club de Bilbao,2011-02-22 00:00:00,70,,69
Athletic Club de Bilbao,2012-02-22 00:00:00,42,,59
Athletic Club de Bilbao,2013-09-20 00:00:00,46,,38
Athletic Club de Bilbao,2014-09-19 00:00:00,46,41.0,38
Athletic Club de Bilbao,2015-09-10 00:00:00,46,46.0,39
Atlético Madrid,2010-02-22 00:00:00,64,,30
Atlético Madrid,2011-02-22 00:00:00,57,,54
Atlético Madrid,2012-02-22 00:00:00,47,,51
Atlético Madrid,2013-09-20 00:00:00,47,,51
Atlético Madrid,2014-09-19 00:00:00,47,52.0,51
Atlético Madrid,2015-09-10 00:00:00,57,50.0,50
FC Augsburg,2010-02-22 00:00:00,45,,45
FC Augsburg,2011-02-22 00:00:00,68,,40
FC Augsburg,2012-02-22 00:00:00,55,,55
FC Augsburg,2013-09-20 00:00:00,40,,55
FC Augsburg,2014-09-19 00:00:00,62,38.0,69
FC Augsburg,2015-09-10 00:00:00,59,51.0,55
AJ Auxerre,2010-02-22 00:00:00,30,,70
AJ Auxerre,2011-02-22 00:00:00,35,,65
AJ Auxerre,2012-02-22 00:00:00,64,,49
AJ Auxerre,2013-09-20 00:00:00,64,,49
AJ Auxerre,2014-09-19 00:00:00,64,55.0,49
AJ Auxerre,2015-09-10 00:00:00,64,55.0,49
AZ,2010-02-22 00:00:00,55,,45
AZ,2011-02-22 00:00:00,45,,31
AZ,2012-02-22 00:00:00,46,,36
AZ,2013-09-20 00:00:00,62,,40
AZ,2014-09-19 00:00:00,52,38.0,46
AZ,2015-09-10 00:00:00,50,46.0,58
FC Barcelona,2010-02-22 00:00:00,42,,30
FC Barcelona,2011-02-22 00:00:00,43,,34
FC Barcelona,2012-02-22 00:00:00,24,,25
FC Barcelona,2013-09-20 00:00:00,35,,32
FC Barcelona,2014-09-19 00:00:00,35,35.0,32
FC Barcelona,2015-09-10 00:00:00,36,35.0,51
Bari,2010-02-22 00:00:00,30,,30
Bari,2011-02-22 00:00:00,65,,35
Bari,2012-02-22 00:00:00,50,,50
Bari,2013-09-20 00:00:00,55,,57
Bari,2014-09-19 00:00:00,55,40.0,57
Bari,2015-09-10 00:00:00,52,40.0,65
FC Basel,2010-02-22 00:00:00,40,,45
FC Basel,2011-02-22 00:00:00,46,,40
FC Basel,2012-02-22 00:00:00,61,,46
FC Basel,2013-09-20 00:00:00,61,,46
FC Basel,2014-09-19 00:00:00,61,63.0,46
FC Basel,2015-09-10 00:00:00,61,63.0,46
Bayer 04 Leverkusen,2010-02-22 00:00:00,70,,30
Bayer 04 Leverkusen,2011-02-22 00:00:00,67,,38
Bayer 04 Leverkusen,2012-02-22 00:00:00,58,,55
Bayer 04 Leverkusen,2013-09-20 00:00:00,64,,55
Bayer 04 Leverkusen,2014-09-19 00:00:00,69,30.0,55
Bayer 04 Leverkusen,2015-09-10 00:00:00,73,29.0,55
FC Bayern Munich,2010-02-22 00:00:00,65,,40
FC Bayern Munich,2011-02-22 00:00:00,42,,40
FC Bayern Munich,2012-02-22 00:00:00,47,,40
FC Bayern Munich,2013-09-20 00:00:00,56,,41
FC Bayern Munich,2014-09-19 00:00:00,37,34.0,22
FC Bayern Munich,2015-09-10 00:00:00,45,24.0,28
Beerschot AC,2010-02-22 00:00:00,35,,35
Beerschot AC,2011-02-22 00:00:00,47,,37
Beerschot AC,2012-02-22 00:00:00,55,,55
Beerschot AC,2013-09-20 00:00:00,47,,39
SC Beira Mar,2011-02-22 00:00:00,48,,46
SC Beira Mar,2012-02-22 00:00:00,39,,48
SC Beira Mar,2013-09-20 00:00:00,39,,48
CF Os Belenenses,2010-02-22 00:00:00,30,,30
CF Os Belenenses,2014-09-19 00:00:00,52,53.0,52
CF Os Belenenses,2015-09-10 00:00:00,51,53.0,52
AC Bellinzona,2010-02-22 00:00:00,40,,50
AC Bellinzona,2011-02-22 00:00:00,47,,54
SL Benfica,2010-02-22 00:00:00,30,,30
SL Benfica,2011-02-22 00:00:00,65,,35
SL Benfica,2012-02-22 00:00:00,55,,48
SL Benfica,2013-09-20 00:00:00,65,,54
SL Benfica,2014-09-19 00:00:00,70,55.0,53
SL Benfica,2015-09-10 00:00:00,69,55.0,53
Birmingham City,2010-02-22 00:00:00,70,,70
Birmingham City,2011-02-22 00:00:00,45,,60
Birmingham City,2012-02-22 00:00:00,51,,55
Birmingham City,2013-09-20 00:00:00,56,,57
Birmingham City,2014-09-19 00:00:00,56,39.0,79
Birmingham City,2015-09-10 00:00:00,56,32.0,75
Blackburn Rovers,2010-02-22 00:00:00,55,,70
Blackburn Rovers,2011-02-22 00:00:00,55,,65
Blackburn Rovers,2012-02-22 00:00:00,57,,57
Blackburn Rovers,2013-09-20 00:00:00,44,,64
Blackburn Rovers,2014-09-19 00:00:00,44,31.0,62
Blackburn Rovers,2015-09-10 00:00:00,60,60.0,65
Blackpool,2010-02-22 00:00:00,70,,70
Blackpool,2011-02-22 00:00:00,70,,30
Blackpool,2012-02-22 00:00:00,45,,52
Blackpool,2013-09-20 00:00:00,45,,52
Blackpool,2014-09-19 00:00:00,67,44.0,72
Blackpool,2015-09-10 00:00:00,62,36.0,64
Boavista FC,2015-09-10 00:00:00,47,56.0,50
VfL Bochum,2010-02-22 00:00:00,50,,65
VfL Bochum,2011-02-22 00:00:00,55,,56
VfL Bochum,2012-02-22 00:00:00,40,,48
VfL Bochum,2013-09-20 00:00:00,40,,48
VfL Bochum,2014-09-19 00:00:00,38,54.0,48
VfL Bochum,2015-09-10 00:00:00,69,38.0,57
Bologna,2010-02-22 00:00:00,65,,55
Bologna,2011-02-22 00:00:00,65,,35
Bologna,2012-02-22 00:00:00,40,,50
Bologna,2013-09-20 00:00:00,63,,48
Bologna,2014-09-19 00:00:00,63,53.0,48
Bologna,2015-09-10 00:00:00,63,53.0,48
Bolton Wanderers,2010-02-22 00:00:00,55,,70
Bolton Wanderers,2011-02-22 00:00:00,45,,70
Bolton Wanderers,2012-02-22 00:00:00,57,,56
Bolton Wanderers,2013-09-20 00:00:00,57,,53
Bolton Wanderers,2014-09-19 00:00:00,57,37.0,73
Bolton Wanderers,2015-09-10 00:00:00,57,34.0,61
Girondins de Bordeaux,2010-02-22 00:00:00,70,,35
Girondins de Bordeaux,2011-02-22 00:00:00,50,,35
Girondins de Bordeaux,2012-02-22 00:00:00,49,,37
Girondins de Bordeaux,2013-09-20 00:00:00,49,,37
Girondins de Bordeaux,2014-09-19 00:00:00,38,49.0,36
Girondins de Bordeaux,2015-09-10 00:00:00,51,40.0,48
Borussia Dortmund,2010-02-22 00:00:00,70,,45
Borussia Dortmund,2011-02-22 00:00:00,73,,43
Borussia Dortmund,2012-02-22 00:00:00,71,,45
Borussia Dortmund,2013-09-20 00:00:00,74,,45
Borussia Dortmund,2014-09-19 00:00:00,76,33.0,61
Borussia Dortmund,2015-09-10 00:00:00,71,37.0,40
Borussia Mönchengladbach,2010-02-22 00:00:00,65,,45
Borussia Mönchengladbach,2011-02-22 00:00:00,63,,46
Borussia Mönchengladbach,2012-02-22 00:00:00,57,,64
Borussia Mönchengladbach,2013-09-20 00:00:00,76,,40
Borussia Mönchengladbach,2014-09-19 00:00:00,31,53.0,32
Borussia Mönchengladbach,2015-09-10 00:00:00,31,53.0,32
US Boulogne Cote D'Opale,2010-02-22 00:00:00,45,,30
US Boulogne Cote D'Opale,2011-02-22 00:00:00,50,,35
US Boulogne Cote D'Opale,2012-02-22 00:00:00,49,,37
Bournemouth,2010-02-22 00:00:00,70,,70
Bournemouth,2011-02-22 00:00:00,51,,66
Bournemouth,2012-02-22 00:00:00,46,,46
Bournemouth,2013-09-20 00:00:00,39,,38
Bournemouth,2014-09-19 00:00:00,47,44.0,48
Bournemouth,2015-09-10 00:00:00,47,36.0,47
SC Braga,2010-02-22 00:00:00,30,,30
SC Braga,2011-02-22 00:00:00,30,,30
SC Braga,2012-02-22 00:00:00,53,,46
SC Braga,2013-09-20 00:00:00,66,,54
SC Braga,2014-09-19 00:00:00,53,35.0,55
SC Braga,2015-09-10 00:00:00,55,35.0,55
Brescia,2010-02-22 00:00:00,30,,30
Brescia,2011-02-22 00:00:00,30,,50
Brescia,2012-02-22 00:00:00,35,,35
Brescia,2013-09-20 00:00:00,42,,43
Brescia,2014-09-19 00:00:00,42,56.0,27
Brescia,2015-09-10 00:00:00,42,56.0,43
Stade Brestois 29,2010-02-22 00:00:00,50,,40
Stade Brestois 29,2011-02-22 00:00:00,65,,35
Stade Brestois 29,2012-02-22 00:00:00,64,,62
Stade Brestois 29,2013-09-20 00:00:00,59,,54
Stade Brestois 29,2014-09-19 00:00:00,59,48.0,54
Stade Brestois 29,2015-09-10 00:00:00,59,48.0,54
Burnley,2010-02-22 00:00:00,70,,65
Burnley,2011-02-22 00:00:00,36,,52
Burnley,2012-02-22 00:00:00,48,,44
Burnley,2013-09-20 00:00:00,54,,55
Burnley,2014-09-19 00:00:00,48,32.0,74
Burnley,2015-09-10 00:00:00,54,32.0,67
SM Caen,2010-02-22 00:00:00,65,,30
SM Caen,2011-02-22 00:00:00,65,,35
SM Caen,2012-02-22 00:00:00,48,,52
SM Caen,2013-09-20 00:00:00,48,,52
SM Caen,2014-09-19 00:00:00,62,50.0,45
SM Caen,2015-09-10 00:00:00,62,50.0,45
Cagliari,2010-02-22 00:00:00,40,,30
Cagliari,2011-02-22 00:00:00,65,,50
Cagliari,2012-02-22 00:00:00,40,,50
Cagliari,2013-09-20 00:00:00,63,,36
Cagliari,2014-09-19 00:00:00,63,51.0,53
Cagliari,2015-09-10 00:00:00,67,32.0,35
SC Cambuur,2014-09-19 00:00:00,45,39.0,42
SC Cambuur,2015-09-10 00:00:00,43,36.0,57
Cardiff City,2010-02-22 00:00:00,65,,70
Cardiff City,2011-02-22 00:00:00,67,,49
Cardiff City,2012-02-22 00:00:00,60,,64
Cardiff City,2013-09-20 00:00:00,60,,69
Cardiff City,2014-09-19 00:00:00,60,29.0,54
Cardiff City,2015-09-10 00:00:00,60,41.0,67
Carpi,2014-09-19 00:00:00,32,46.0,31
Carpi,2015-09-10 00:00:00,80,45.0,65
Catania,2010-02-22 00:00:00,35,,30
Catania,2011-02-22 00:00:00,65,,35
Catania,2012-02-22 00:00:00,40,,50
Catania,2013-09-20 00:00:00,67,,37
Catania,2014-09-19 00:00:00,75,52.0,48
Catania,2015-09-10 00:00:00,70,52.0,48
RC Celta de Vigo,2010-02-22 00:00:00,35,,30
RC Celta de Vigo,2011-02-22 00:00:00,43,,44
RC Celta de Vigo,2012-02-22 00:00:00,53,,62
RC Celta de Vigo,2013-09-20 00:00:00,53,,62
RC Celta de Vigo,2014-09-19 00:00:00,53,54.0,62
RC Celta de Vigo,2015-09-10 00:00:00,55,59.0,38
Celtic,2010-02-22 00:00:00,70,,70
Celtic,2011-02-22 00:00:00,54,,52
Celtic,2012-02-22 00:00:00,70,,58
Celtic,2013-09-20 00:00:00,50,,53
Celtic,2014-09-19 00:00:00,70,52.0,58
Celtic,2015-09-10 00:00:00,54,49.0,53
KSV Cercle Brugge,2010-02-22 00:00:00,45,,35
KSV Cercle Brugge,2011-02-22 00:00:00,50,,50
KSV Cercle Brugge,2012-02-22 00:00:00,68,,54
KSV Cercle Brugge,2013-09-20 00:00:00,53,,40
KSV Cercle Brugge,2014-09-19 00:00:00,53,49.0,43
KSV Cercle Brugge,2015-09-10 00:00:00,53,49.0,43
Cesena,2010-02-22 00:00:00,30,,30
Cesena,2011-02-22 00:00:00,50,,50
Cesena,2012-02-22 00:00:00,60,,40
Cesena,2013-09-20 00:00:00,73,,44
Cesena,2014-09-19 00:00:00,73,29.0,41
Cesena,2015-09-10 00:00:00,66,31.0,41
Chelsea,2010-02-22 00:00:00,70,,60
Chelsea,2011-02-22 00:00:00,60,,50
Chelsea,2012-02-22 00:00:00,60,,45
Chelsea,2013-09-20 00:00:00,46,,41
Chelsea,2014-09-19 00:00:00,67,52.0,38
Chelsea,2015-09-10 00:00:00,67,41.0,36
Chievo Verona,2010-02-22 00:00:00,45,,30
Chievo Verona,2011-02-22 00:00:00,45,,50
Chievo Verona,2012-02-22 00:00:00,60,,65
Chievo Verona,2013-09-20 00:00:00,66,,67
Chievo Verona,2014-09-19 00:00:00,66,54.0,67
Chievo Verona,2015-09-10 00:00:00,66,54.0,67
Club Brugge KV,2010-02-22 00:00:00,35,,40
Club Brugge KV,2011-02-22 00:00:00,67,,47
Club Brugge KV,2012-02-22 00:00:00,64,,54
Club Brugge KV,2013-09-20 00:00:00,45,,48
Club Brugge KV,2014-09-19 00:00:00,42,52.0,45
Club Brugge KV,2015-09-10 00:00:00,42,52.0,45
Córdoba CF,2010-02-22 00:00:00,30,,30
Córdoba CF,2011-02-22 00:00:00,39,,41
Córdoba CF,2012-02-22 00:00:00,40,,53
Córdoba CF,2013-09-20 00:00:00,40,,53
Córdoba CF,2014-09-19 00:00:00,40,53.0,53
Córdoba CF,2015-09-10 00:00:00,53,40.0,48
Cracovia,2010-02-22 00:00:00,30,,45
Cracovia,2011-02-22 00:00:00,46,,51
Cracovia,2012-02-22 00:00:00,57,,59
Cracovia,2014-09-19 00:00:00,37,50.0,38
Cracovia,2015-09-10 00:00:00,37,50.0,38
Crystal Palace,2010-02-22 00:00:00,70,,70
Crystal Palace,2011-02-22 00:00:00,53,,54
Crystal Palace,2012-02-22 00:00:00,43,,46
Crystal Palace,2013-09-20 00:00:00,52,,47
Crystal Palace,2014-09-19 00:00:00,61,36.0,68
Crystal Palace,2015-09-10 00:00:00,61,45.0,67
SV Darmstadt 98,2015-09-10 00:00:00,59,43.0,77
De Graafschap,2011-02-22 00:00:00,30,,40
De Graafschap,2012-02-22 00:00:00,37,,41
RC Deportivo de La Coruña,2010-02-22 00:00:00,30,,30
RC Deportivo de La Coruña,2011-02-22 00:00:00,56,,42
RC Deportivo de La Coruña,2012-02-22 00:00:00,56,,46
RC Deportivo de La Coruña,2013-09-20 00:00:00,56,,46
RC Deportivo de La Coruña,2014-09-19 00:00:00,56,55.0,46
RC Deportivo de La Coruña,2015-09-10 00:00:00,53,55.0,47
Dijon FCO,2010-02-22 00:00:00,55,,40
Dijon FCO,2011-02-22 00:00:00,65,,50
Dijon FCO,2012-02-22 00:00:00,51,,49
Dijon FCO,2013-09-20 00:00:00,51,,49
Dijon FCO,2014-09-19 00:00:00,51,54.0,49
Dijon FCO,2015-09-10 00:00:00,51,54.0,49
Dundee FC,2013-09-20 00:00:00,50,,49
Dundee FC,2015-09-10 00:00:00,47,47.0,48
Dundee United,2010-02-22 00:00:00,70,,70
Dundee United,2011-02-22 00:00:00,68,,53
Dundee United,2012-02-22 00:00:00,60,,60
Dundee United,2013-09-20 00:00:00,53,,52
Dundee United,2014-09-19 00:00:00,60,51.0,60
Dundee United,2015-09-10 00:00:00,60,58.0,53
Dunfermline Athletic,2012-02-22 00:00:00,55,,60
SD Eibar,2014-09-19 00:00:00,62,51.0,52
SD Eibar,2015-09-10 00:00:00,62,51.0,52
Eintracht Braunschweig,2012-02-22 00:00:00,64,,54
Eintracht Braunschweig,2013-09-20 00:00:00,68,,54
Eintracht Braunschweig,2014-09-19 00:00:00,61,60.0,62
Eintracht Braunschweig,2015-09-10 00:00:00,66,44.0,54
Eintracht Frankfurt,2010-02-22 00:00:00,60,,35
Eintracht Frankfurt,2011-02-22 00:00:00,52,,43
Eintracht Frankfurt,2012-02-22 00:00:00,38,,34
Eintracht Frankfurt,2013-09-20 00:00:00,41,,34
Eintracht Frankfurt,2014-09-19 00:00:00,63,48.0,42
Eintracht Frankfurt,2015-09-10 00:00:00,51,41.0,38
Elche CF,2010-02-22 00:00:00,30,,30
Elche CF,2011-02-22 00:00:00,43,,39
Elche CF,2012-02-22 00:00:00,55,,73
Elche CF,2013-09-20 00:00:00,55,,73
Elche CF,2014-09-19 00:00:00,55,47.0,69
Elche CF,2015-09-10 00:00:00,51,52.0,48
Empoli,2010-02-22 00:00:00,30,,30
Empoli,2011-02-22 00:00:00,50,,35
Empoli,2012-02-22 00:00:00,50,,50
Empoli,2013-09-20 00:00:00,51,,54
Empoli,2014-09-19 00:00:00,63,43.0,39
Empoli,2015-09-10 00:00:00,66,43.0,36
FC Energie Cottbus,2010-02-22 00:00:00,45,,55
FC Energie Cottbus,2011-02-22 00:00:00,64,,55
FC Energie Cottbus,2012-02-22 00:00:00,50,,48
FC Energie Cottbus,2013-09-20 00:00:00,50,,48
FC Energie Cottbus,2014-09-19 00:00:00,39,47.0,40
RCD Espanyol,2010-02-22 00:00:00,55,,40
RCD Espanyol,2011-02-22 00:00:00,68,,55
RCD Espanyol,2012-02-22 00:00:00,46,,44
RCD Espanyol,2013-09-20 00:00:00,50,,44
RCD Espanyol,2014-09-19 00:00:00,50,52.0,44
RCD Espanyol,2015-09-10 00:00:00,50,52.0,44
Estoril Praia,2013-09-20 00:00:00,66,,52
Estoril Praia,2014-09-19 00:00:00,66,56.0,52
Estoril Praia,2015-09-10 00:00:00,59,56.0,52
KAS Eupen,2011-02-22 00:00:00,50,,55
Everton,2010-02-22 00:00:00,60,,65
Everton,2011-02-22 00:00:00,60,,50
Everton,2012-02-22 00:00:00,56,,56
Everton,2013-09-20 00:00:00,58,,62
Everton,2014-09-19 00:00:00,61,34.0,42
Everton,2015-09-10 00:00:00,43,45.0,40
Évian Thonon Gaillard FC,2011-02-22 00:00:00,35,,65
Évian Thonon Gaillard FC,2012-02-22 00:00:00,53,,44
Évian Thonon Gaillard FC,2013-09-20 00:00:00,53,,44
Évian Thonon Gaillard FC,2014-09-19 00:00:00,61,51.0,44
Évian Thonon Gaillard FC,2015-09-10 00:00:00,58,35.0,56
Excelsior,2011-02-22 00:00:00,73,,59
Excelsior,2012-02-22 00:00:00,47,,52
Excelsior,2015-09-10 00:00:00,53,41.0,69
Falkirk,2010-02-22 00:00:00,70,,70
1. FC Köln,2010-02-22 00:00:00,55,,65
1. FC Köln,2011-02-22 00:00:00,58,,71
1. FC Köln,2012-02-22 00:00:00,53,,53
1. FC Köln,2013-09-20 00:00:00,60,,56
1. FC Köln,2014-09-19 00:00:00,59,53.0,57
1. FC Köln,2015-09-10 00:00:00,59,47.0,65
FC Dordrecht,2015-09-10 00:00:00,39,33.0,62
FC Groningen,2010-02-22 00:00:00,41,,32
FC Groningen,2011-02-22 00:00:00,51,,39
FC Groningen,2012-02-22 00:00:00,44,,41
FC Groningen,2013-09-20 00:00:00,44,,44
FC Groningen,2014-09-19 00:00:00,48,42.0,38
FC Groningen,2015-09-10 00:00:00,55,32.0,55
FC Porto,2010-02-22 00:00:00,30,,30
FC Porto,2011-02-22 00:00:00,50,,50
FC Porto,2012-02-22 00:00:00,52,,53
FC Porto,2013-09-20 00:00:00,52,,53
FC Porto,2014-09-19 00:00:00,52,50.0,53
FC Porto,2015-09-10 00:00:00,70,50.0,53
FC Utrecht,2010-02-22 00:00:00,45,,45
FC Utrecht,2011-02-22 00:00:00,66,,45
FC Utrecht,2012-02-22 00:00:00,47,,52
FC Utrecht,2013-09-20 00:00:00,47,,52
FC Utrecht,2014-09-19 00:00:00,50,50.0,52
FC Utrecht,2015-09-10 00:00:00,50,39.0,54
FC Vaduz,2015-09-10 00:00:00,53,32.0,56
FC Zürich,2010-02-22 00:00:00,45,,60
FC Zürich,2011-02-22 00:00:00,48,,56
FC Zürich,2012-02-22 00:00:00,62,,46
FC Zürich,2013-09-20 00:00:00,62,,46
FC Zürich,2014-09-19 00:00:00,62,49.0,46
FC Zürich,2015-09-10 00:00:00,62,49.0,46
Feyenoord,2010-02-22 00:00:00,30,,30
Feyenoord,2011-02-22 00:00:00,47,,53
Feyenoord,2012-02-22 00:00:00,38,,34
Feyenoord,2013-09-20 00:00:00,44,,44
Feyenoord,2014-09-19 00:00:00,54,40.0,60
Feyenoord,2015-09-10 00:00:00,50,33.0,48
Fiorentina,2010-02-22 00:00:00,67,,30
Fiorentina,2011-02-22 00:00:00,49,,50
Fiorentina,2012-02-22 00:00:00,45,,50
Fiorentina,2013-09-20 00:00:00,53,,51
Fiorentina,2014-09-19 00:00:00,34,54.0,33
Fiorentina,2015-09-10 00:00:00,34,54.0,33
Fortuna Düsseldorf,2010-02-22 00:00:00,65,,35
Fortuna Düsseldorf,2011-02-22 00:00:00,51,,38
Fortuna Düsseldorf,2012-02-22 00:00:00,67,,47
Fortuna Düsseldorf,2013-09-20 00:00:00,41,,69
Fortuna Düsseldorf,2014-09-19 00:00:00,72,69.0,57
Fortuna Düsseldorf,2015-09-10 00:00:00,47,62.0,47
SC Freiburg,2010-02-22 00:00:00,50,,30
SC Freiburg,2011-02-22 00:00:00,50,,47
SC Freiburg,2012-02-22 00:00:00,52,,61
SC Freiburg,2013-09-20 00:00:00,59,,38
SC Freiburg,2014-09-19 00:00:00,39,58.0,48
SC Freiburg,2015-09-10 00:00:00,59,54.0,38
Frosinone,2010-02-22 00:00:00,30,,30
Frosinone,2011-02-22 00:00:00,70,,48
Frosinone,2015-09-10 00:00:00,63,48.0,46
Fulham,2010-02-22 00:00:00,60,,70
Fulham,2011-02-22 00:00:00,50,,55
Fulham,2012-02-22 00:00:00,48,,45
Fulham,2013-09-20 00:00:00,52,,49
Fulham,2014-09-19 00:00:00,52,34.0,56
Fulham,2015-09-10 00:00:00,52,34.0,48
KRC Genk,2010-02-22 00:00:00,45,,45
KRC Genk,2011-02-22 00:00:00,66,,52
KRC Genk,2012-02-22 00:00:00,53,,55
KRC Genk,2013-09-20 00:00:00,58,,38
KRC Genk,2014-09-19 00:00:00,58,52.0,38
KRC Genk,2015-09-10 00:00:00,58,52.0,38
