team,date,buildUpPlaySpeed,buildUpPlayDribbling,buildUpPlayPassing
Genoa,2010-02-22 00:00:00,70,,50
Genoa,2011-02-22 00:00:00,65,,35
Genoa,2012-02-22 00:00:00,50,,50
Genoa,2013-09-20 00:00:00,64,,38
Genoa,2014-09-19 00:00:00,64,52.0,68
Genoa,2015-09-10 00:00:00,64,52.0,68
KAA Gent,2010-02-22 00:00:00,70,,65
KAA Gent,2011-02-22 00:00:00,55,,55
KAA Gent,2012-02-22 00:00:00,50,,47
KAA Gent,2013-09-20 00:00:00,50,,37
KAA Gent,2014-09-19 00:00:00,50,55.0,37
KAA Gent,2015-09-10 00:00:00,50,55.0,37
Getafe CF,2010-02-22 00:00:00,30,,35
Getafe CF,2011-02-22 00:00:00,54,,45
Getafe CF,2012-02-22 00:00:00,25,,40
Getafe CF,2013-09-20 00:00:00,29,,40
Getafe CF,2014-09-19 00:00:00,35,42.0,40
Getafe CF,2015-09-10 00:00:00,34,41.0,38
GFC Ajaccio,2013-09-20 00:00:00,61,,52
GFC Ajaccio,2015-09-10 00:00:00,48,53.0,52
Gil Vicente FC,2012-02-22 00:00:00,46,,41
Gil Vicente FC,2013-09-20 00:00:00,46,,41
Gil Vicente FC,2014-09-19 00:00:00,65,67.0,41
Gil Vicente FC,2015-09-10 00:00:00,68,67.0,41
GKS Bełchatów,2010-02-22 00:00:00,30,,50
GKS Bełchatów,2011-02-22 00:00:00,47,,27
GKS Bełchatów,2012-02-22 00:00:00,52,,67
GKS Bełchatów,2013-09-20 00:00:00,52,,43
GKS Bełchatów,2015-09-10 00:00:00,52,48.0,43
Go Ahead Eagles,2014-09-19 00:00:00,55,47.0,42
Go Ahead Eagles,2015-09-10 00:00:00,58,38.0,64
Górnik Łęczna,2015-09-10 00:00:00,41,40.0,59
Polonia Bytom,2010-02-22 00:00:00,30,,50
Polonia Bytom,2011-02-22 00:00:00,46,,38
Granada CF,2011-02-22 00:00:00,53,,52
Granada CF,2012-02-22 00:00:00,48,,37
Granada CF,2013-09-20 00:00:00,52,,37
Granada CF,2014-09-19 00:00:00,52,62.0,37
Granada CF,2015-09-10 00:00:00,57,50.0,59
Grasshopper Club Zürich,2010-02-22 00:00:00,30,,50
Grasshopper Club Zürich,2011-02-22 00:00:00,67,,53
Grasshopper Club Zürich,2012-02-22 00:00:00,50,,54
Grasshopper Club Zürich,2013-09-20 00:00:00,50,,54
Grasshopper Club Zürich,2014-09-19 00:00:00,50,60.0,54
Grasshopper Club Zürich,2015-09-10 00:00:00,50,60.0,54
Grenoble Foot 38,2010-02-22 00:00:00,70,,70
Grenoble Foot 38,2011-02-22 00:00:00,50,,50
SpVgg Greuther Fürth,2010-02-22 00:00:00,55,,45
SpVgg Greuther Fürth,2011-02-22 00:00:00,59,,40
SpVgg Greuther Fürth,2012-02-22 00:00:00,68,,45
SpVgg Greuther Fürth,2013-09-20 00:00:00,57,,53
SpVgg Greuther Fürth,2014-09-19 00:00:00,66,60.0,38
SpVgg Greuther Fürth,2015-09-10 00:00:00,54,60.0,53
En Avant de Guingamp,2010-02-22 00:00:00,35,,30
En Avant de Guingamp,2012-02-22 00:00:00,52,,48
En Avant de Guingamp,2013-09-20 00:00:00,52,,48
En Avant de Guingamp,2014-09-19 00:00:00,63,58.0,48
En Avant de Guingamp,2015-09-10 00:00:00,63,37.0,58
Hamburger SV,2010-02-22 00:00:00,70,,60
Hamburger SV,2011-02-22 00:00:00,52,,29
Hamburger SV,2012-02-22 00:00:00,46,,40
Hamburger SV,2013-09-20 00:00:00,34,,38
Hamburger SV,2014-09-19 00:00:00,45,61.0,58
Hamburger SV,2015-09-10 00:00:00,42,56.0,52
Hamilton Academical FC,2010-02-22 00:00:00,70,,70
Hamilton Academical FC,2011-02-22 00:00:00,66,,52
Hamilton Academical FC,2015-09-10 00:00:00,48,48.0,47
Hannover 96,2010-02-22 00:00:00,55,,70
Hannover 96,2011-02-22 00:00:00,55,,56
Hannover 96,2012-02-22 00:00:00,65,,58
Hannover 96,2013-09-20 00:00:00,78,,58
Hannover 96,2014-09-19 00:00:00,48,55.0,38
Hannover 96,2015-09-10 00:00:00,48,55.0,41
Heart of Midlothian,2010-02-22 00:00:00,70,,70
Heart of Midlothian,2011-02-22 00:00:00,66,,53
Heart of Midlothian,2012-02-22 00:00:00,55,,62
Heart of Midlothian,2013-09-20 00:00:00,52,,53
Heart of Midlothian,2014-09-19 00:00:00,55,51.0,62
Heracles Almelo,2010-02-22 00:00:00,30,,45
Heracles Almelo,2011-02-22 00:00:00,69,,45
Heracles Almelo,2012-02-22 00:00:00,43,,27
Heracles Almelo,2013-09-20 00:00:00,39,,32
Heracles Almelo,2014-09-19 00:00:00,46,55.0,32
Heracles Almelo,2015-09-10 00:00:00,50,36.0,61
Hércules Club de Fútbol,2010-02-22 00:00:00,40,,30
Hércules Club de Fútbol,2011-02-22 00:00:00,54,,55
Hércules Club de Fútbol,2012-02-22 00:00:00,53,,54
Hércules Club de Fútbol,2013-09-20 00:00:00,53,,54
Hércules Club de Fútbol,2014-09-19 00:00:00,53,47.0,54
Hertha BSC Berlin,2010-02-22 00:00:00,60,,50
Hertha BSC Berlin,2011-02-22 00:00:00,59,,43
Hertha BSC Berlin,2012-02-22 00:00:00,48,,45
Hertha BSC Berlin,2013-09-20 00:00:00,40,,55
Hertha BSC Berlin,2014-09-19 00:00:00,68,52.0,55
Hertha BSC Berlin,2015-09-10 00:00:00,47,44.0,55
Hibernian,2010-02-22 00:00:00,70,,70
Hibernian,2011-02-22 00:00:00,48,,51
Hibernian,2012-02-22 00:00:00,55,,44
Hibernian,2013-09-20 00:00:00,60,,46
Hibernian,2014-09-19 00:00:00,55,49.0,44
TSG 1899 Hoffenheim,2010-02-22 00:00:00,70,,30
TSG 1899 Hoffenheim,2011-02-22 00:00:00,75,,35
TSG 1899 Hoffenheim,2012-02-22 00:00:00,61,,53
TSG 1899 Hoffenheim,2013-09-20 00:00:00,32,,53
TSG 1899 Hoffenheim,2014-09-19 00:00:00,68,49.0,63
TSG 1899 Hoffenheim,2015-09-10 00:00:00,69,49.0,53
Hull City,2010-02-22 00:00:00,65,,60
Hull City,2011-02-22 00:00:00,49,,52
Hull City,2012-02-22 00:00:00,61,,48
Hull City,2013-09-20 00:00:00,63,,48
Hull City,2014-09-19 00:00:00,56,35.0,51
Hull City,2015-09-10 00:00:00,56,40.0,55
FC Ingolstadt 04,2011-02-22 00:00:00,47,,54
FC Ingolstadt 04,2012-02-22 00:00:00,55,,46
FC Ingolstadt 04,2013-09-20 00:00:00,55,,46
FC Ingolstadt 04,2014-09-19 00:00:00,54,59.0,47
FC Ingolstadt 04,2015-09-10 00:00:00,55,51.0,46
Inter,2010-02-22 00:00:00,55,,55
Inter,2011-02-22 00:00:00,55,,50
Inter,2012-02-22 00:00:00,45,,50
Inter,2013-09-20 00:00:00,67,,67
Inter,2014-09-19 00:00:00,67,48.0,67
Inter,2015-09-10 00:00:00,58,69.0,54
Inverness Caledonian Thistle,2011-02-22 00:00:00,36,,67
Inverness Caledonian Thistle,2012-02-22 00:00:00,61,,59
Inverness Caledonian Thistle,2013-09-20 00:00:00,35,,54
Inverness Caledonian Thistle,2014-09-19 00:00:00,61,49.0,59
Inverness Caledonian Thistle,2015-09-10 00:00:00,48,47.0,32
Jagiellonia Białystok,2010-02-22 00:00:00,30,,50
Jagiellonia Białystok,2011-02-22 00:00:00,33,,52
Jagiellonia Białystok,2012-02-22 00:00:00,58,,69
Jagiellonia Białystok,2013-09-20 00:00:00,58,,69
Jagiellonia Białystok,2014-09-19 00:00:00,38,54.0,38
Jagiellonia Białystok,2015-09-10 00:00:00,66,54.0,38
Juventus,2010-02-22 00:00:00,45,,35
Juventus,2011-02-22 00:00:00,65,,50
Juventus,2012-02-22 00:00:00,50,,35
Juventus,2013-09-20 00:00:00,39,,33
Juventus,2014-09-19 00:00:00,26,47.0,24
Juventus,2015-09-10 00:00:00,50,35.0,20
1. FC Kaiserslautern,2010-02-22 00:00:00,45,,55
1. FC Kaiserslautern,2011-02-22 00:00:00,48,,42
1. FC Kaiserslautern,2012-02-22 00:00:00,38,,54
1. FC Kaiserslautern,2013-09-20 00:00:00,61,,54
1. FC Kaiserslautern,2014-09-19 00:00:00,66,48.0,53
1. FC Kaiserslautern,2015-09-10 00:00:00,49,54.0,52
Karlsruher SC,2010-02-22 00:00:00,70,,35
Karlsruher SC,2011-02-22 00:00:00,53,,55
Karlsruher SC,2012-02-22 00:00:00,54,,47
Karlsruher SC,2014-09-19 00:00:00,56,55.0,53
Karlsruher SC,2015-09-10 00:00:00,54,52.0,47
Kilmarnock,2010-02-22 00:00:00,70,,70
Kilmarnock,2011-02-22 00:00:00,36,,36
Kilmarnock,2012-02-22 00:00:00,56,,61
Kilmarnock,2013-09-20 00:00:00,53,,54
Kilmarnock,2014-09-19 00:00:00,56,50.0,61
Kilmarnock,2015-09-10 00:00:00,50,48.0,60
Korona Kielce,2010-02-22 00:00:00,30,,45
Korona Kielce,2011-02-22 00:00:00,67,,66
Korona Kielce,2012-02-22 00:00:00,75,,62
Korona Kielce,2013-09-20 00:00:00,70,,50
Korona Kielce,2014-09-19 00:00:00,73,69.0,50
Korona Kielce,2015-09-10 00:00:00,59,69.0,50
KV Kortrijk,2010-02-22 00:00:00,50,,60
KV Kortrijk,2011-02-22 00:00:00,38,,65
KV Kortrijk,2012-02-22 00:00:00,31,,47
KV Kortrijk,2013-09-20 00:00:00,42,,40
KV Kortrijk,2014-09-19 00:00:00,42,40.0,47
KV Kortrijk,2015-09-10 00:00:00,42,40.0,47
KV Mechelen,2010-02-22 00:00:00,65,,60
KV Mechelen,2011-02-22 00:00:00,67,,57
KV Mechelen,2012-02-22 00:00:00,52,,54
KV Mechelen,2013-09-20 00:00:00,52,,33
KV Mechelen,2014-09-19 00:00:00,52,42.0,40
KV Mechelen,2015-09-10 00:00:00,52,42.0,40
UD Las Palmas,2010-02-22 00:00:00,30,,30
UD Las Palmas,2011-02-22 00:00:00,54,,56
UD Las Palmas,2012-02-22 00:00:00,48,,44
UD Las Palmas,2013-09-20 00:00:00,48,,44
UD Las Palmas,2014-09-19 00:00:00,48,55.0,44
UD Las Palmas,2015-09-10 00:00:00,48,55.0,44
FC Lausanne-Sports,2010-02-22 00:00:00,30,,60
FC Lausanne-Sports,2012-02-22 00:00:00,37,,49
FC Lausanne-Sports,2013-09-20 00:00:00,51,,49
FC Lausanne-Sports,2014-09-19 00:00:00,37,55.0,49
Lazio,2010-02-22 00:00:00,60,,50
Lazio,2011-02-22 00:00:00,60,,35
Lazio,2012-02-22 00:00:00,45,,50
Lazio,2013-09-20 00:00:00,51,,54
Lazio,2014-09-19 00:00:00,49,69.0,54
Lazio,2015-09-10 00:00:00,68,65.0,55
Le Havre AC,2010-02-22 00:00:00,55,,45
Le Havre AC,2011-02-22 00:00:00,50,,50
Le Havre AC,2012-02-22 00:00:00,46,,52
Le Havre AC,2013-09-20 00:00:00,46,,52
Le Havre AC,2014-09-19 00:00:00,46,56.0,52
Le Havre AC,2015-09-10 00:00:00,46,56.0,52
Le Mans FC,2010-02-22 00:00:00,70,,45
Le Mans FC,2011-02-22 00:00:00,65,,50
Le Mans FC,2012-02-22 00:00:00,58,,47
Le Mans FC,2013-09-20 00:00:00,58,,47
Lecce,2010-02-22 00:00:00,40,,30
Lecce,2011-02-22 00:00:00,50,,50
Lecce,2012-02-22 00:00:00,45,,50
Lech Poznań,2010-02-22 00:00:00,40,,35
Lech Poznań,2011-02-22 00:00:00,64,,57
Lech Poznań,2012-02-22 00:00:00,67,,54
Lech Poznań,2013-09-20 00:00:00,67,,54
Lech Poznań,2014-09-19 00:00:00,67,55.0,54
Lech Poznań,2015-09-10 00:00:00,57,50.0,40
Lechia Gdańsk,2010-02-22 00:00:00,30,,45
Lechia Gdańsk,2011-02-22 00:00:00,63,,37
Lechia Gdańsk,2012-02-22 00:00:00,44,,52
Lechia Gdańsk,2013-09-20 00:00:00,44,,52
Lechia Gdańsk,2014-09-19 00:00:00,62,48.0,52
Lechia Gdańsk,2015-09-10 00:00:00,62,48.0,52
Legia Warszawa,2010-02-22 00:00:00,30,,35
Legia Warszawa,2011-02-22 00:00:00,67,,35
Legia Warszawa,2012-02-22 00:00:00,69,,55
Legia Warszawa,2013-09-20 00:00:00,69,,55
Legia Warszawa,2014-09-19 00:00:00,54,51.0,36
Legia Warszawa,2015-09-10 00:00:00,54,47.0,36
Leicester City,2010-02-22 00:00:00,70,,70
Leicester City,2011-02-22 00:00:00,36,,52
Leicester City,2012-02-22 00:00:00,45,,48
Leicester City,2013-09-20 00:00:00,45,,48
Leicester City,2014-09-19 00:00:00,63,36.0,48
Leicester City,2015-09-10 00:00:00,63,41.0,60
Leixões SC,2010-02-22 00:00:00,30,,30
RC Lens,2010-02-22 00:00:00,30,,30
RC Lens,2011-02-22 00:00:00,65,,50
RC Lens,2012-02-22 00:00:00,64,,49
RC Lens,2013-09-20 00:00:00,64,,49
RC Lens,2014-09-19 00:00:00,64,52.0,49
RC Lens,2015-09-10 00:00:00,64,44.0,50
Levante UD,2010-02-22 00:00:00,30,,30
Levante UD,2011-02-22 00:00:00,68,,56
Levante UD,2012-02-22 00:00:00,53,,63
Levante UD,2013-09-20 00:00:00,57,,63
Levante UD,2014-09-19 00:00:00,57,51.0,63
Levante UD,2015-09-10 00:00:00,62,36.0,65
Lierse SK,2011-02-22 00:00:00,48,,65
Lierse SK,2012-02-22 00:00:00,69,,58
Lierse SK,2013-09-20 00:00:00,69,,58
Lierse SK,2014-09-19 00:00:00,69,44.0,58
Lierse SK,2015-09-10 00:00:00,69,44.0,58
LOSC Lille,2010-02-22 00:00:00,70,,60
LOSC Lille,2011-02-22 00:00:00,65,,65
LOSC Lille,2012-02-22 00:00:00,34,,23
LOSC Lille,2013-09-20 00:00:00,34,,42
LOSC Lille,2014-09-19 00:00:00,45,65.0,42
LOSC Lille,2015-09-10 00:00:00,45,36.0,43
Liverpool,2010-02-22 00:00:00,50,,35
Liverpool,2011-02-22 00:00:00,60,,50
Liverpool,2012-02-22 00:00:00,60,,60
Liverpool,2013-09-20 00:00:00,39,,44
Liverpool,2014-09-19 00:00:00,71,48.0,32
Liverpool,2015-09-10 00:00:00,66,60.0,45
Livorno,2010-02-22 00:00:00,30,,30
Livorno,2011-02-22 00:00:00,65,,50
Livorno,2012-02-22 00:00:00,50,,50
Livorno,2013-09-20 00:00:00,58,,55
Livorno,2014-09-19 00:00:00,58,58.0,67
Livorno,2015-09-10 00:00:00,58,58.0,67
Widzew Łódź,2011-02-22 00:00:00,63,,48
Widzew Łódź,2012-02-22 00:00:00,66,,72
Widzew Łódź,2013-09-20 00:00:00,66,,59
Widzew Łódź,2014-09-19 00:00:00,66,52.0,72
Sporting Lokeren,2010-02-22 00:00:00,60,,60
Sporting Lokeren,2011-02-22 00:00:00,66,,53
Sporting Lokeren,2012-02-22 00:00:00,67,,52
Sporting Lokeren,2013-09-20 00:00:00,67,,52
Sporting Lokeren,2014-09-19 00:00:00,62,45.0,52
Sporting Lokeren,2015-09-10 00:00:00,62,45.0,52
FC Lorient,2010-02-22 00:00:00,45,,70
FC Lorient,2011-02-22 00:00:00,35,,35
FC Lorient,2012-02-22 00:00:00,60,,42
FC Lorient,2013-09-20 00:00:00,60,,42
FC Lorient,2014-09-19 00:00:00,60,56.0,42
FC Lorient,2015-09-10 00:00:00,57,42.0,50
FC Luzern,2010-02-22 00:00:00,45,,60
FC Luzern,2011-02-22 00:00:00,48,,57
FC Luzern,2012-02-22 00:00:00,46,,48
FC Luzern,2013-09-20 00:00:00,46,,48
FC Luzern,2014-09-19 00:00:00,63,51.0,51
FC Luzern,2015-09-10 00:00:00,63,51.0,51
Olympique Lyonnais,2010-02-22 00:00:00,60,,40
Olympique Lyonnais,2011-02-22 00:00:00,65,,50
Olympique Lyonnais,2012-02-22 00:00:00,49,,52
Olympique Lyonnais,2013-09-20 00:00:00,49,,52
Olympique Lyonnais,2014-09-19 00:00:00,49,60.0,52
Olympique Lyonnais,2015-09-10 00:00:00,49,60.0,52
1. FSV Mainz 05,2010-02-22 00:00:00,45,,40
1. FSV Mainz 05,2011-02-22 00:00:00,65,,50
1. FSV Mainz 05,2012-02-22 00:00:00,68,,57
1. FSV Mainz 05,2013-09-20 00:00:00,66,,52
1. FSV Mainz 05,2014-09-19 00:00:00,67,54.0,57
1. FSV Mainz 05,2015-09-10 00:00:00,60,43.0,53
Málaga CF,2010-02-22 00:00:00,60,,55
Málaga CF,2011-02-22 00:00:00,58,,54
Málaga CF,2012-02-22 00:00:00,41,,36
Málaga CF,2013-09-20 00:00:00,45,,36
Málaga CF,2014-09-19 00:00:00,45,42.0,36
Málaga CF,2015-09-10 00:00:00,42,51.0,36
RCD Mallorca,2010-02-22 00:00:00,40,,40
RCD Mallorca,2011-02-22 00:00:00,53,,52
RCD Mallorca,2012-02-22 00:00:00,58,,57
RCD Mallorca,2013-09-20 00:00:00,62,,57
RCD Mallorca,2014-09-19 00:00:00,62,53.0,57
RCD Mallorca,2015-09-10 00:00:00,62,53.0,57
Manchester City,2010-02-22 00:00:00,70,,60
Manchester City,2011-02-22 00:00:00,70,,60
Manchester City,2012-02-22 00:00:00,45,,55
Manchester City,2013-09-20 00:00:00,36,,34
Manchester City,2014-09-19 00:00:00,59,35.0,29
Manchester City,2015-09-10 00:00:00,59,35.0,29
Manchester United,2010-02-22 00:00:00,70,,45
Manchester United,2011-02-22 00:00:00,65,,40
Manchester United,2012-02-22 00:00:00,46,,54
Manchester United,2013-09-20 00:00:00,46,,38
Manchester United,2014-09-19 00:00:00,46,34.0,54
Manchester United,2015-09-10 00:00:00,38,42.0,44
CS Marítimo,2010-02-22 00:00:00,30,,30
CS Marítimo,2011-02-22 00:00:00,30,,30
CS Marítimo,2012-02-22 00:00:00,38,,44
CS Marítimo,2013-09-20 00:00:00,38,,44
CS Marítimo,2014-09-19 00:00:00,67,49.0,66
CS Marítimo,2015-09-10 00:00:00,61,49.0,66
Olympique de Marseille,2010-02-22 00:00:00,55,,45
Olympique de Marseille,2011-02-22 00:00:00,65,,35
Olympique de Marseille,2012-02-22 00:00:00,48,,50
Olympique de Marseille,2013-09-20 00:00:00,48,,50
Olympique de Marseille,2014-09-19 00:00:00,51,62.0,50
Olympique de Marseille,2015-09-10 00:00:00,51,77.0,41
FC Metz,2010-02-22 00:00:00,50,,30
FC Metz,2011-02-22 00:00:00,65,,65
FC Metz,2012-02-22 00:00:00,50,,49
FC Metz,2014-09-19 00:00:00,55,42.0,49
FC Metz,2015-09-10 00:00:00,55,48.0,49
Middlesbrough,2010-02-22 00:00:00,70,,70
Middlesbrough,2011-02-22 00:00:00,66,,51
Middlesbrough,2012-02-22 00:00:00,60,,72
Middlesbrough,2013-09-20 00:00:00,60,,40
Middlesbrough,2014-09-19 00:00:00,60,28.0,56
Middlesbrough,2015-09-10 00:00:00,60,32.0,46
AS Monaco,2010-02-22 00:00:00,35,,55
AS Monaco,2011-02-22 00:00:00,65,,50
AS Monaco,2012-02-22 00:00:00,52,,48
AS Monaco,2013-09-20 00:00:00,52,,48
AS Monaco,2014-09-19 00:00:00,52,68.0,48
AS Monaco,2015-09-10 00:00:00,52,42.0,43
RAEC Mons,2012-02-22 00:00:00,50,,50
RAEC Mons,2013-09-20 00:00:00,50,,50
RAEC Mons,2014-09-19 00:00:00,55,50.0,55
Montpellier Hérault SC,2010-02-22 00:00:00,35,,35
Montpellier Hérault SC,2011-02-22 00:00:00,50,,50
Montpellier Hérault SC,2012-02-22 00:00:00,52,,47
Montpellier Hérault SC,2013-09-20 00:00:00,52,,47
Montpellier Hérault SC,2014-09-19 00:00:00,52,58.0,47
Montpellier Hérault SC,2015-09-10 00:00:00,54,43.0,65
Moreirense FC,2013-09-20 00:00:00,38,,43
Moreirense FC,2015-09-10 00:00:00,38,58.0,43
Motherwell,2010-02-22 00:00:00,70,,70
Motherwell,2011-02-22 00:00:00,48,,49
Motherwell,2012-02-22 00:00:00,70,,55
Motherwell,2013-09-20 00:00:00,67,,54
Motherwell,2014-09-19 00:00:00,70,47.0,55
Motherwell,2015-09-10 00:00:00,64,46.0,55
Royal Excel Mouscron,2015-09-10 00:00:00,50,50.0,50
NAC Breda,2010-02-22 00:00:00,30,,35
NAC Breda,2011-02-22 00:00:00,33,,44
NAC Breda,2012-02-22 00:00:00,40,,48
NAC Breda,2013-09-20 00:00:00,58,,53
NAC Breda,2014-09-19 00:00:00,46,44.0,54
NAC Breda,2015-09-10 00:00:00,45,49.0,59
CD Nacional,2010-02-22 00:00:00,45,,30
CD Nacional,2011-02-22 00:00:00,47,,30
CD Nacional,2012-02-22 00:00:00,41,,43
CD Nacional,2013-09-20 00:00:00,41,,43
CD Nacional,2014-09-19 00:00:00,41,59.0,43
CD Nacional,2015-09-10 00:00:00,65,59.0,43
AS Nancy-Lorraine,2010-02-22 00:00:00,65,,40
AS Nancy-Lorraine,2011-02-22 00:00:00,35,,35
AS Nancy-Lorraine,2012-02-22 00:00:00,49,,49
AS Nancy-Lorraine,2013-09-20 00:00:00,49,,49
AS Nancy-Lorraine,2014-09-19 00:00:00,49,48.0,49
AS Nancy-Lorraine,2015-09-10 00:00:00,49,48.0,49
FC Nantes,2010-02-22 00:00:00,55,,35
FC Nantes,2011-02-22 00:00:00,50,,50
FC Nantes,2012-02-22 00:00:00,46,,51
FC Nantes,2013-09-20 00:00:00,46,,51
FC Nantes,2014-09-19 00:00:00,63,53.0,48
FC Nantes,2015-09-10 00:00:00,63,70.0,56
Naval 1° de Maio,2010-02-22 00:00:00,30,,30
Naval 1° de Maio,2011-02-22 00:00:00,50,,65
N.E.C.,2010-02-22 00:00:00,32,,30
N.E.C.,2011-02-22 00:00:00,47,,46
N.E.C.,2012-02-22 00:00:00,46,,38
N.E.C.,2013-09-20 00:00:00,46,,41
N.E.C.,2014-09-19 00:00:00,49,42.0,59
Newcastle United,2010-02-22 00:00:00,70,,60
Newcastle United,2011-02-22 00:00:00,55,,50
Newcastle United,2012-02-22 00:00:00,54,,54
Newcastle United,2013-09-20 00:00:00,58,,72
Newcastle United,2014-09-19 00:00:00,54,33.0,47
Newcastle United,2015-09-10 00:00:00,58,45.0,49
OGC Nice,2010-02-22 00:00:00,70,,70
OGC Nice,2011-02-22 00:00:00,50,,50
OGC Nice,2012-02-22 00:00:00,48,,66
OGC Nice,2013-09-20 00:00:00,48,,66
OGC Nice,2014-09-19 00:00:00,48,61.0,66
OGC Nice,2015-09-10 00:00:00,48,55.0,53
Norwich City,2010-02-22 00:00:00,65,,70
Norwich City,2011-02-22 00:00:00,49,,52
Norwich City,2012-02-22 00:00:00,63,,61
Norwich City,2013-09-20 00:00:00,70,,70
Norwich City,2014-09-19 00:00:00,45,28.0,64
Norwich City,2015-09-10 00:00:00,45,38.0,55
Novara,2011-02-22 00:00:00,53,,35
Novara,2012-02-22 00:00:00,55,,50
Novara,2013-09-20 00:00:00,66,,62
Novara,2014-09-19 00:00:00,66,57.0,56
1. FC Nürnberg,2010-02-22 00:00:00,45,,50
1. FC Nürnberg,2011-02-22 00:00:00,45,,50
1. FC Nürnberg,2012-02-22 00:00:00,44,,49
1. FC Nürnberg,2013-09-20 00:00:00,46,,49
1. FC Nürnberg,2014-09-19 00:00:00,46,62.0,38
1. FC Nürnberg,2015-09-10 00:00:00,46,58.0,49
CD Numancia,2010-02-22 00:00:00,55,,40
CD Numancia,2011-02-22 00:00:00,71,,53
CD Numancia,2012-02-22 00:00:00,44,,45
CD Numancia,2013-09-20 00:00:00,44,,45
CD Numancia,2014-09-19 00:00:00,44,48.0,45
CD Numancia,2015-09-10 00:00:00,44,48.0,45
Odra Wodzisław,2010-02-22 00:00:00,30,,45
S.C. Olhanense,2010-02-22 00:00:00,45,,55
S.C. Olhanense,2011-02-22 00:00:00,65,,55
S.C. Olhanense,2012-02-22 00:00:00,45,,40
S.C. Olhanense,2013-09-20 00:00:00,45,,52
S.C. Olhanense,2014-09-19 00:00:00,45,62.0,40
KV Oostende,2014-09-19 00:00:00,52,49.0,54
KV Oostende,2015-09-10 00:00:00,52,49.0,54
CA Osasuna,2010-02-22 00:00:00,35,,35
CA Osasuna,2011-02-22 00:00:00,55,,54
CA Osasuna,2012-02-22 00:00:00,34,,52
CA Osasuna,2013-09-20 00:00:00,38,,52
CA Osasuna,2014-09-19 00:00:00,38,53.0,52
CA Osasuna,2015-09-10 00:00:00,38,53.0,52
Oud-Heverlee Leuven,2012-02-22 00:00:00,52,,50
Oud-Heverlee Leuven,2013-09-20 00:00:00,52,,50
Oud-Heverlee Leuven,2014-09-19 00:00:00,52,51.0,50
FC Paços de Ferreira,2010-02-22 00:00:00,30,,30
FC Paços de Ferreira,2011-02-22 00:00:00,50,,50
FC Paços de Ferreira,2012-02-22 00:00:00,38,,39
FC Paços de Ferreira,2013-09-20 00:00:00,50,,39
FC Paços de Ferreira,2014-09-19 00:00:00,38,40.0,39
FC Paços de Ferreira,2015-09-10 00:00:00,63,40.0,39
SC Paderborn 07,2010-02-22 00:00:00,70,,49
SC Paderborn 07,2011-02-22 00:00:00,52,,48
SC Paderborn 07,2012-02-22 00:00:00,67,,59
SC Paderborn 07,2013-09-20 00:00:00,67,,59
SC Paderborn 07,2014-09-19 00:00:00,73,46.0,55
SC Paderborn 07,2015-09-10 00:00:00,67,46.0,62
Palermo,2010-02-22 00:00:00,63,,50
Palermo,2011-02-22 00:00:00,65,,35
Palermo,2012-02-22 00:00:00,60,,40
Palermo,2013-09-20 00:00:00,66,,37
Palermo,2014-09-19 00:00:00,66,55.0,37
Palermo,2015-09-10 00:00:00,66,66.0,36
Paris Saint-Germain,2010-02-22 00:00:00,50,,65
Paris Saint-Germain,2011-02-22 00:00:00,35,,35
Paris Saint-Germain,2012-02-22 00:00:00,49,,41
Paris Saint-Germain,2013-09-20 00:00:00,49,,41
Paris Saint-Germain,2014-09-19 00:00:00,49,70.0,55
Paris Saint-Germain,2015-09-10 00:00:00,49,47.0,34
Parma,2010-02-22 00:00:00,30,,30
Parma,2011-02-22 00:00:00,50,,30
Parma,2012-02-22 00:00:00,45,,35
Parma,2013-09-20 00:00:00,48,,33
